COD_UPZ;UPZ;COD_LOCALIDAD
UPR1;UPR ZONA NORTE;1
UPZ10;LA URIBE;1
UPZ11;SAN CRISTOBAL NORTE;1
UPZ12;TOBERIN;1
UPZ13;LOS CEDROS;1
UPZ14;USAQUEN;1
UPZ15;COUNTRY CLUB;1
UPZ1;PASEO DE LOS LIBERTADORES;1
UPZ16;SANTA BARBARA;1
UPZ9;VERBENAL;1
UPZ999;SIN LOCALIZACION;1
UPZ88;EL REFUGIO;2
UPZ89;SAN ISIDRO - PATIOS;2
UPZ90;PARDO RUBIO;2
UPZ97;CHICO LAGO;2
UPZ99;CHAPINERO;2
UPZ91;SAGRADO CORAZON;3
UPZ92;LA MACARENA;3
UPZ93;LAS NIEVES;3
UPZ95;LAS CRUCES;3
UPZ96;LOURDES;3
UPZ32;SAN BLAS;4
UPZ33;SOSIEGO;4
UPZ34;20 DE JULIO;4
UPZ50;LA GLORIA;4
UPZ51;LOS LIBERTADORES;4
UPR3;UPR RIO TUNJUELO;5
UPZ52;LA FLORA;5
UPZ56;DANUBIO;5
UPZ57;GRAN YOMASA;5
UPZ58;COMUNEROS;5
UPZ59;ALFONSO LOPEZ;5
UPZ60;PARQUE ENTRENUBES;5
UPZ61;CIUDAD USME;5
UPZ42;VENECIA;6
UPZ62;TUNJUELITO;6
UPZ49;APOGEO;7
UPZ84;BOSA OCCIDENTAL;7
UPZ85;BOSA CENTRAL;7
UPZ86;EL PORVENIR;7
UPZ87;TINTAL SUR;7
UPZ113;BAVARIA;8
UPZ44;AMERICAS;8
UPZ45;CARVAJAL;8
UPZ46;CASTILLA;8
UPZ47;KENNEDY CENTRAL;8
UPZ48;TIMIZA;8
UPZ78;TINTAL NORTE;8
UPZ79;CALANDAIMA;8
UPZ80;CORABASTOS;8
UPZ81;GRAN BRITALIA;8
UPZ82;PATIO BONITO;8
UPZ83;LAS MARGARITAS;8
UPZ110;CIUDAD SALITRE OCCIDENTAL;9
UPZ112;GRANJAS DE TECHO;9
UPZ114;MODELIA;9
UPZ115;CAPELLANIA;9
UPZ117;AEROPUERTO EL DORADO;9
UPZ75;FONTIBON;9
UPZ76;FONTIBON SAN PABLO;9
UPZ77;ZONA FRANCA;9
UPZ105;JARDIN BOTANICO;10
UPZ116;ALAMOS;10
UPZ26;LAS FERIAS;10
UPZ29;MINUTO DE DIOS;10
UPZ30;BOYACA REAL;10
UPZ31;SANTA CECILIA;10
UPZ72;BOLIVIA;10
UPZ73;GARCES NAVAS;10
UPZ74;ENGATIVA;10
UPZ17;SAN JOSE DE BAVARIA;11
UPZ18;BRITALIA;11
UPZ19;EL PRADO;11
UPZ20;LA ALHAMBRA;11
UPZ23;CASA BLANCA SUBA;11
UPZ24;NIZA;11
UPZ25;LA FLORESTA;11
UPZ2;LA ACADEMIA;11
UPZ27;SUBA;11
UPZ28;EL RINCON;11
UPZ3;GUAYMARAL;11
UPZ71;TIBABUYES;11
UPZ103;PARQUE SALITRE;12
UPZ21;LOS ANDES;12
UPZ22;DOCE DE OCTUBRE;12
UPZ98;LOS ALCAZARES;12
UPZ100;GALERIAS;13
UPZ101;TEUSAQUILLO;13
UPZ104;PARQUE SIMON BOLIVAR - CAN;13
UPZ106;LA ESMERALDA;13
UPZ107;QUINTA PAREDES;13
UPZ109;CIUDAD SALITRE ORIENTAL;13
UPZ102;LA SABANA;14
UPZ37;SANTA ISABEL;14
UPZ35;CIUDAD JARDIN;15
UPZ38;RESTREPO;15
UPZ108;ZONA INDUSTRIAL;16
UPZ111;PUENTE ARANDA;16
UPZ40;CIUDAD MONTES;16
UPZ41;MUZU;16
UPZ43;SAN RAFAEL;16
UPZ94;LA CANDELARIA;17
UPZ36;SAN JOSE;18
UPZ39;QUIROGA;18
UPZ53;MARCO FIDEL SUAREZ;18
UPZ54;MARRUECOS;18
UPZ55;DIANA TURBAY;18
UPZ63;EL MOCHUELO;19
UPZ64;MONTE BLANCO;19
UPZ65;ARBORIZADORA;19
UPZ66;SAN FRANCISCO;19
UPZ67;LUCERO;19
UPZ68;EL TESORO;19
UPZ69;ISMAEL PERDOMO;19
UPZ70;JERUSALEM;19
-;-;99
UPR4;UPR RIO BLANCO;20
UPR5;UPR RIO SUMAPAZ;20
